CVE-2021-44832,patch,trigger_status,version_status,reason,affected_ga,vulnerable_version,patched_version,patch_branch,备注
CVE-2022-25647,"https://github.com/google/gson/commit/e6fae590cf2a758c47cd5a17f9bf3780ce62c986
https://github.com/google/gson/pull/1991",pending,testcase运行成功了，但是好像这个testcase不起什么作用,,,,,,
,,,,,,,,,
CVE-2019-15534,https://github.com/folio-org/raml-module-builder/pull/501,pending,,,,,,,,
CVE-2021-32700,https://github.com/ballerina-platform/ballerina-lang/commit/4609ffee1744ecd16aac09303b1783bf0a525816,pending,sanitizer,,,,,,,
CVE-2019-10431,https://github.com/jenkinsci/script-security-plugin/commit/415b6e2f3fa0c2e4bd2f9c4a589a9e1fc9cbac8b,no,,依赖太复杂,,,,,,
CVE-2019-10181,https://github.com/AdoptOpenJDK/IcedTea-Web/pull/344,no,,artifact找不到,,,,,,
CVE-2022-29599,https://github.com/apache/maven-shared-utils/commit/f751e614c09df8de1a080dc1153931f3f68991c9,yes,tagged,,,,,,,
CVE-2022-22976,"https://github.com/spring-projects/spring-security/commit/a40f73521c0dd88b879ff6165d280e78bdf8154f
https://github.com/spring-projects/spring-security/commit/0bd7daf899305eac4b2b0a070db8f9536ac384c5",yes,tagged,,,,,,,
CVE-2022-23618,https://github.com/xwiki/xwiki-platform/commit/5251c02080466bf9fb55288f04a37671108f8096,no,,maven2找不到Xwiki-platform jar 包,,,,,,
CVE-2022-30947,"https://github.com/jenkinsci/git-plugin/pull/1272
https://github.com/jenkinsci/git-plugin/commit/b295606e0b865c298fde27bea14f9b7535a976e6",no,,maven 中心仓 jar 包版本不完整，patch 领先于最新 jar 包版本,,,,,,
CVE-2018-8039,"https://github.com/apache/cxf/commit/8ed6208f987ff72e4c4d2cf8a6b1ec9b27575d4b
https://github.com/apache/cxf/commit/fae6fabf9bd7647f5e9cb68897a7d72b545b741b",no,,,,,,,,
CVE-2020-36320,https://github.com/vaadin/framework/pull/12104,yes,,,,,,,,
CVE-2020-36321,https://github.com/vaadin/flow/pull/9392,no,,依赖太复杂,,,,,,
CVE-2019-1003049,https://github.com/jenkinsci/jenkins/commit/0eeaa087aac192fb39f52928be5a5bbf16627ea6,no,,,,,,,,
CVE-2019-10219,"https://github.com/hibernate/hibernate-validator/commit/124b7dd6d9a4ad24d4d49f74701f05a13e56ceee
https://github.com/hibernate/hibernate-validator/commit/20d729548511ac5cff6fd459f93de137195420fe",yes,,,,,,,,
CVE-2019-10755,https://github.com/pac4j/pac4j/commit/34d5b1028a2db201ee81ec51b52a782fe073f609,yes,tagged,,,,,,,
CVE-2017-15095,https://github.com/FasterXML/jackson-databind/commit/ddfddfba,pending,,测试集本身依赖了另一个单元测试集，且新增的测试集并不是用自动测试框架写的,,,,,,
CVE-2017-4994,https://github.com/cloudfoundry/uaa/commit/f40eb20950d285be7a50bc79f0587e8f303df2d9,pending,,,,,,,,
CVE-2017-1000487,https://github.com/codehaus-plexus/plexus-utils/commit/b38a1b3a4352303e4312b2bb601a0d7ec6e28f41,yes,tagged,,,,,,,
CVE-2021-36774,"https://github.com/apache/kylin/pull/1694
https://github.com/apache/kylin/commit/c5599678f56e629b2243a9f48ad7617afb06e270
https://github.com/apache/kylin/pull/1694/commits/356533da4f83d4a4edab469ffe89f54bfd6dbb14",pending,,多组件,,,,,,
CVE-2022-22947,https://github.com/spring-cloud/spring-cloud-gateway/commit/1b868d2159e8fb71c22d583e424ae699f90532e3,pending,,依赖过多,,,,,,
CVE-2021-45456,"https://github.com/apache/kylin/pull/1781
https://github.com/apache/kylin/pull/1781/commits/21be8fc14307da280db62c0127c423bf92d0faed
https://github.com/apache/kylin/commit/f4daf14dde99b934c92ce2c832509f24342bc845",pending,,多组件,,,,,,
CVE-2019-17573,"https://github.com/apache/cxf/commit/a02e96ba1095596bef481919f16a90c5e80a92c8
https://github.com/apache/cxf/commit/4ca5f7b92175edab46d1f1ea4e829a3ac4e9c7f2
https://github.com/apache/cxf/commit/ffee603ae648c25f6ce5aa01b92c3aa57ebd5681",no,,,,,,,,
CVE-2012-2098,"https://github.com/apache/commons-compress/commit/fdd7459bc5470e90024dbe762249166481cce769
https://github.com/apache/commons-compress/commit/0600296ab8f8a0bbdfedd483f51b38005eb8e34e",pending,,testcase 无法运行,,,,,,
CVE-2020-25633,https://github.com/resteasy/Resteasy/pull/2665/commits/13c808b5967242eec1e877edbc0014a84dcd6eb0,no,,文件过多,,,,,,
CVE-2019-3875,https://github.com/keycloak/keycloak/commit/5f9feee3f86e3d856063c8b6d355e30c962258f7,no,testcase 复杂,,,,,,,
CVE-2022-22969,"https://github.com/spring-projects/spring-security-oauth/commit/3379a36e64c13e4118c7e179f3a874a64de5f5a2
https://github.com/spring-projects/spring-security-oauth/commit/2b58aafecac336e82f20ea43da9b208b0a4a40dd",yes,tagged,,,,,,,
CVE-2020-13445,https://github.com/community-security-team/liferay-portal/commit/064e6b01afa1e087e4c6bbaf7f71c97ee33f3ee9,no,,文件过多,,,,,,
CVE-2017-15089,https://github.com/infinispan/infinispan/pull/5639,no,,测试框架不是 junit,,,,,,
CVE-2021-22113,https://github.com/spring-cloud/spring-cloud-netflix/commit/8ecb3dca511c3ce0454e42ac31ee2331d7318c07,no,,testcase 依赖复杂,,,,,,
CVE-2019-20445,"https://github.com/netty/netty/commit/8494b046ec7e4f28dbd44bc699cc4c4c92251729
https://github.com/netty/netty/pull/9865",yes,tagged,测试请求头是否合理，如果恶意构造的请求头被成功构造，则断言失败,,,,,,
,,,,,,,,,,
CVE-2022-23305,https://github.com/qos-ch/reload4j/commit/e845f28e7fb0ecbc0fcce383b11179f2650a51a2,no,,testcase 依赖复杂,,,,,,
CVE-2022-25180,https://github.com/jenkinsci/workflow-cps-plugin/commit/886676efdd711e126307ec70a539f2fe613151f9,no,,maven 中心仓 jar 包版本不完整，patch 领先于最新 jar 包版本,,,,,,
CVE-2021-37578,https://github.com/apache/juddi/commit/dd880ffe7694a70cee75efeee79c9197d261866f,no,,patch 不纯净,,,,,,
CVE-2017-2599,https://github.com/jenkinsci/jenkins/commit/4ed5c850b6855ab064a66d02fb338f366853ce89,no,,maven jar 缺失,,,,,,
CVE-2020-5245,https://github.com/dropwizard/dropwizard/commit/d87d1e4f8e20f6494c0232bf8560c961b46db634,yes,tagged,,,,,,,
CVE-2019-11938,"https://github.com/facebook/fbthrift/commit/71c97ffdcb61cccf1f8267774e873e21ebd3ebd3
https://github.com/facebook/fbthrift/commit/08c2d412adb214c40bb03be7587057b25d053030",no,,maven jar 缺失,,,,,,
CVE-2018-1000068,https://github.com/jenkinsci/jenkins/commit/8830d68f5fe21f344be3496984bc4470bfcd0564,no,,maven2 缺失 jar,,,,,,
CVE-2020-13692,https://github.com/pgjdbc/pgjdbc/commit/14b62aca4764d496813f55a43d050b017e01eb65,yes,tagged,,,,,,,
CVE-2015-2156,"https://github.com/netty/netty/commit/31815598a2af37f0b71ea94eada70d6659c23752
https://github.com/netty/netty/commit/2caa38a2795fe1f1ae6ceda4d69e826ed7c55e55
https://github.com/netty/netty/pull/3748
https://github.com/netty/netty/commit/97d871a7553a01384b43df855dccdda5205ae77a
https://github.com/netty/netty/pull/3754
https://github.com/netty/netty/pull/3748/commits/4ac519f534493bb0ca7a77e1c779138a54faa7b9
https://github.com/netty/netty/commit/d98b21be045a315ced88ada84000e4757cfb9892",yes,tagged,,io.netty:netty,,,,,
CVE-2018-1000601,https://github.com/jenkinsci/ssh-credentials-plugin/commit/18b3121fa94a174064447d637dc11539e33b3a76,no,,,,,,,,
CVE-2022-20613,https://github.com/jenkinsci/mailer-plugin/commit/5e6051fae61a43564e22aa89cb24ed8a42a26052,no,,依赖复杂,,,,,,
CVE-2012-6612,https://github.com/apache/lucene-solr/commit/f230486ce6707762c1a6e81655d0fac52887906d,pending,,依赖缺失,,,,,,
CVE-2020-8929,https://github.com/google/tink/commit/93d839a5865b9d950dffdc9d0bc99b71280a8899,yes,tagged,,,,,,,
CVE-2022-29567,https://github.com/vaadin/flow-components/commit/ac9854f2edd7031ab5870e55044ebd126087bd10,yes,tagged,,,,,,,
CVE-2016-1000338,https://github.com/bcgit/bc-java/commit/44f1ea41be8f0ea309724f35d687c1be13a845eb,yes,tagged,,,,,,,
CVE-2020-1695,https://github.com/resteasy/Resteasy/commit/88ba8537f2e8d465c7031d352bf9bb25526ce475,pending,,testcase 不明确,,,,,,
CVE-2018-1000632,"https://github.com/dom4j/dom4j/commit/c2a99d7dee8ce7a4e5bef134bb781a6672bd8a0f
https://github.com/dom4j/dom4j/commit/e598eb43d418744c4dbf62f647dd2381c9ce9387",yes,tagged,,,,,,,
CVE-2021-40525,"https://github.com/apache/james-project/pull/636/commits/895fcca2036fef71aef57cbda0b9bd2df22afe1e
https://github.com/apache/james-project/pull/636
https://github.com/apache/james-project/commit/c019c349f9cb2dc6e767e71ea26cb1789ec482f9
https://github.com/apache/james-project/pull/636/commits/2df1c57894e2144775782bf800265ef3927b0164",pending,,依赖太多,,,,,,
CVE-2018-1000013,https://github.com/jenkinsci/release-plugin/commit/fe1660a5ebff2377b6a64214c6012e8615b3f81f,no,,maven2 缺失 jar,,,,,,
CVE-2018-20000,"https://github.com/Bedework/bw-webdav/commit/ccb87c2757bab531c53faf0637ee342a378caa7f
https://github.com/Bedework/bw-webdav/pull/1",yes,tagged,,,,,,,
CVE-2021-42767,"https://github.com/neo4j-contrib/neo4j-apoc-procedures/commit/5d363878db4f77d05159f8350f8347af80f081ed
https://github.com/neo4j-contrib/neo4j-apoc-procedures/commit/1b75fd88b9eed8d4674be1d95ad55078be25da06
https://github.com/neo4j-contrib/neo4j-apoc-procedures/commit/3de6b0002e2dc26e9f5064c980caf5d27e454acd
https://github.com/neo4j-contrib/neo4j-apoc-procedures/commit/f6bdd14c78b40009f97a62c85a86d6a7815bd0a3",pass,,,,,,,,
CVE-2019-17556,https://github.com/apache/olingo-odata4/pull/60/files,no,,依赖太多,,,,,,
CVE-2018-1000111,https://github.com/jenkinsci/subversion-plugin/commit/25f6afbb02a5863f363b0a2f664ac717ace743b4,no,,maven jar 缺失,,,,,,
CVE-2022-34298,https://github.com/OpenIdentityPlatform/OpenAM/pull/514,pending,,找不到依赖 org.openidentityplatform.external.com.sun.web.ui:cc:jar:2008-08-08，找不到符号 dataProvider,,,,,,
CVE-2018-1190,https://github.com/cloudfoundry/uaa/commit/96fe26711f8f8855d2994a531447f730afd61844,pending,,找不到源代码 DefaultConfigurationTestSuite（java: 找不到符号  符号:位置：）,,,,,,
CVE-2017-2604,https://github.com/jenkinsci/jenkins/commit/6efcf6c2ac39bc5c59ac7251822be8ddf67ceaf8,no,,maven2 缺失 jar,,,,,,
CVE-2016-1594,https://github.com/spring-projects/spring-framework/commit/8028eae786ff36ea58df9a385319bf045795fa77,pending,,patch 不正确,,,,,,
CVE-2022-28367,https://github.com/nahsra/antisamy/commit/0199e7e194dba5e7d7197703f43ebe22401e61ae,pending,,存在 protected,,,,,,
CVE-2019-10247,https://github.com/eclipse/jetty.project/commit/04c994712c0b29824633598cfe0bf709f3b96f09,pending,,,,,,,,
CVE-2021-44548,"https://github.com/apache/lucene-solr/commit/aa95d5440d3eef11fe20ffddd34ef7385cbefbb2
https://github.com/apache/solr/pull/439/commits/151396ac34ea7331761d583d21c8b610bac6e9ab
https://github.com/apache/solr/pull/439
https://github.com/apache/lucene-solr/pull/2622",pass,,,,,,,,
CVE-2020-28491,https://github.com/FasterXML/jackson-dataformats-binary/commit/de072d314af8f5f269c8abec6930652af67bc8e6,no,,,,,,,,
CVE-2021-21369,"https://github.com/hyperledger/besu/pull/1144
https://github.com/hyperledger/besu/commit/06e35a58c07a30c0fbdc0aae45a3e8b06b53c022",pass,,,,,,,,
CVE-2021-36163,https://github.com/apache/dubbo/pull/8238,pass,,,,,,,,
